"","GO","Pvalue","OddsRatio","ExpCount","Count","Size","Term","ontology"
"1","GO:0007275",4.78841448509686e-46,2.07416016708508,912.00960799385,1193,1841,"multicellular organismal development","BP"
"2","GO:0060255",9.84029483027548e-26,1.55420974645489,1458.58893572961,1707,2893,"regulation of macromolecule metabolic process","BP"
"3","GO:0010646",1.89723023750743e-22,2.17094319023396,357.462687671030,482,709,"regulation of cell communication","BP"
"4","GO:0032774",4.29981920090656e-22,1.55870209982299,1158.60261814955,1368,2298,"RNA biosynthetic process","BP"
"5","GO:0009891",4.41157176358419e-22,2.56653429176398,242.005768804083,344,480,"positive regulation of biosynthetic process","BP"
"6","GO:0045944",2.18962514107805e-18,3.52877948099534,118.481990976999,183,235,"positive regulation of transcription from RNA polymerase II promoter","BP"
"7","GO:0048667",2.27420826668678e-16,4.61925239644905,76.6351601212928,125,152,"cell morphogenesis involved in neuron differentiation","BP"
"8","GO:0048858",1.03188801038624e-15,4.33443792227336,78.1476961763183,126,155,"cell projection morphogenesis","BP"
"9","GO:0031175",2.54475513720057e-15,4.27073897527797,77.0837099044374,124,153,"neurite development","BP"
"10","GO:0051239",4.51816006279582e-15,2.48052387505116,166.675871435038,236,333,"regulation of multicellular organismal process","BP"
"11","GO:0007399",9.72240521397987e-15,2.90036994706449,119.573399090699,178,242,"nervous system development","BP"
"12","GO:0007242",1.46414669206514e-14,1.60671290733175,581.246539072547,705,1161,"intracellular signaling cascade","BP"
"13","GO:0022008",1.72151856992782e-14,2.86143268201285,122.865726227795,181,245,"neurogenesis","BP"
"14","GO:0030182",2.32194934494866e-14,2.81203644840008,125.566367080146,184,250,"neuron differentiation","BP"
"15","GO:0048856",3.98100366200378e-14,2.18108055265902,194.124840764331,268,405,"anatomical structure development","BP"
"16","GO:0048522",4.90351546724061e-12,1.69497464269248,365.280700407035,455,734,"positive regulation of cellular process","BP"
"17","GO:0009887",1.32522348568134e-11,2.1744099378882,164.438310957774,224,329,"organ morphogenesis","BP"
"18","GO:0007267",1.35192347637858e-11,2.21443841939092,157.749566135969,216,315,"cell-cell signaling","BP"
"19","GO:0031324",1.01869444027163e-10,1.83468535704242,243.3790292701,312,483,"negative regulation of cellular metabolic process","BP"
"20","GO:0051179",1.04831028984335e-10,1.94277467769867,203.167353668590,266,406,"localization","BP"
"21","GO:0009952",1.51445937176838e-09,5.76124721603563,34.2343437337879,58,68,"anterior/posterior pattern formation","BP"
"22","GO:0009890",2.2560058876455e-09,1.84734989984300,202.087619329535,260,401,"negative regulation of biosynthetic process","BP"
"23","GO:0001568",5.01685434796611e-09,2.35004286911041,103.356630426744,144,205,"blood vessel development","BP"
"24","GO:0048598",6.54269892056135e-09,5.19427821952619,34.0761648745520,57,68,"embryonic morphogenesis","BP"
"25","GO:0000122",8.12465617418027e-09,2.51850224163241,87.1848316685165,124,173,"negative regulation of transcription from RNA polymerase II promoter","BP"
"26","GO:0022603",8.62101668559825e-09,1.95834359761148,156.799571037645,206,311,"regulation of anatomical structure morphogenesis","BP"
"27","GO:0007411",8.74596974797057e-08,5.6963809946714,27.2019551210842,46,54,"axon guidance","BP"
"28","GO:0009653",9.4893962636815e-08,1.89213109623688,142.831541501976,187,291,"anatomical structure morphogenesis","BP"
"29","GO:0006813",9.54426240818252e-08,2.44937866587136,78.6518748613268,111,156,"potassium ion transport","BP"
"30","GO:0051056",1.02044535049329e-07,2.02848291443525,121.002884402041,161,240,"regulation of small GTPase mediated signal transduction","BP"
"31","GO:0050794",1.32233381430809e-07,1.32974881990842,753.082911100875,847,1626,"regulation of cellular process","BP"
"32","GO:0050767",1.72531408498543e-07,4.19875124133916,34.2343090033346,55,68,"regulation of neurogenesis","BP"
"33","GO:0008015",3.18747391914740e-07,2.55105958230958,66.4950612699592,95,132,"blood circulation","BP"
"34","GO:0045893",3.77416093213134e-07,3.5681433067054,38.4158691884560,60,77,"positive regulation of transcription, DNA-dependent","BP"
"35","GO:0006355",4.02138187746114e-07,1.30678074068703,775.860320423083,868,1574,"regulation of transcription, DNA-dependent","BP"
"36","GO:0006357",4.28211774757096e-07,2.26329834331740,81.5259394492621,113,164,"regulation of transcription from RNA polymerase II promoter","BP"
"37","GO:0016568",4.46349803395756e-07,2.06188956386084,103.860809111752,139,206,"chromatin modification","BP"
"38","GO:0030154",4.83599922040941e-07,1.62535975500260,215.227283473875,266,439,"cell differentiation","BP"
"39","GO:0035023",5.43426097520927e-07,3.41128063332181,40.3225567803507,62,80,"regulation of Rho protein signal transduction","BP"
"40","GO:0003015",6.47185376676664e-07,3.58692114218080,37.3092226906294,58,74,"heart process","BP"
"41","GO:0001503",7.40514557442756e-07,2.73566293090637,54.931611279698,80,109,"ossification","BP"
"42","GO:0045596",7.54774465965645e-07,3.0766313108736,45.2570284103553,68,90,"negative regulation of cell differentiation","BP"
"43","GO:0035107",8.07435023810904e-07,4.31464295786943,29.7465424155018,48,59,"appendage morphogenesis","BP"
"44","GO:0030036",9.07831832116864e-07,2.61515526552655,58.3327125083811,84,116,"actin cytoskeleton organization","BP"
"45","GO:0009187",1.13134211032430e-06,2.8208096444962,50.3995264871264,74,100,"cyclic nucleotide metabolic process","BP"
"46","GO:0048646",1.24011833112401e-06,3.40151454903728,37.6711047946742,58,75,"anatomical structure formation","BP"
"47","GO:0060173",1.28141164149248e-06,4.03748029944838,30.7548997855188,49,61,"limb development","BP"
"48","GO:0006816",1.39835269287254e-06,2.43969594594595,64.5114695870949,91,128,"calcium ion transport","BP"
"49","GO:0045665",1.76066164228542e-06,22.6919340594642,12.1002884402041,23,24,"negative regulation of neuron differentiation","BP"
"50","GO:0030324",2.05943644661537e-06,3.95449844881075,30.2507211005103,48,60,"lung development","BP"
"51","GO:0007423",2.47743127500115e-06,2.94660075508597,43.6971836219068,65,87,"sensory organ development","BP"
"52","GO:0007155",3.01345387186468e-06,1.58056308297915,211.883383685801,258,423,"cell adhesion","BP"
"53","GO:0006464",3.46770796272877e-06,1.33108911400627,554.122820261191,626,1103,"protein modification process","BP"
"54","GO:0006812",3.57050085661855e-06,1.50314164121271,265.197988314474,316,526,"cation transport","BP"
"55","GO:0006468",3.64929480820127e-06,1.57240184432195,213.186771890267,259,425,"protein amino acid phosphorylation","BP"
"56","GO:0048729",3.69598219748693e-06,2.52380336847346,55.4596553509356,79,110,"tissue morphogenesis","BP"
"57","GO:0007517",3.83229342997358e-06,3.56553777606409,32.1123142409081,50,64,"muscle development","BP"
"58","GO:0007165",3.89244554416919e-06,1.24747287102694,970.542364367046,1062,1987,"signal transduction","BP"
"59","GO:0007218",4.38452374472442e-06,2.87850517615067,43.3593669107315,64,86,"neuropeptide signaling pathway","BP"
"60","GO:0042472",4.54224828988203e-06,6.31887988209285,18.6546113453147,32,37,"inner ear morphogenesis","BP"
"61","GO:0048523",4.60050772662553e-06,1.7282573573275,140.649350649351,178,285,"negative regulation of cellular process","BP"
"62","GO:0007409",4.78608024019089e-06,5.13133812581326,21.5704812993593,36,43,"axonogenesis","BP"
"63","GO:0006928",6.37988394872343e-06,1.78726499822445,123.731672544459,158,247,"cell motion","BP"
"64","GO:0034961",7.59102328626878e-06,1.19586812285672,1543.29095481103,1649,3061,"cellular biopolymer biosynthetic process","BP"
"65","GO:0008284",7.80289487085144e-06,1.83156202263989,112.66607195956,145,224,"positive regulation of cell proliferation","BP"
"66","GO:0009968",7.85316871662022e-06,2.19055712871356,69.5564104461049,95,138,"negative regulation of signal transduction","BP"
"67","GO:0001501",9.74911542734977e-06,2.00544053196313,84.2378539493294,112,168,"skeletal system development","BP"
"68","GO:0009059",1.18234007348443e-05,1.18606480614347,1653.20190814289,1759,3279,"macromolecule biosynthetic process","BP"
"69","GO:0048762",1.47992092496613e-05,5.26494718742324,19.1587900303232,32,38,"mesenchymal cell differentiation","BP"
"70","GO:0006796",1.61849595924090e-05,1.35845613422319,405.405970149254,463,806,"phosphate metabolic process","BP"
"71","GO:0043067",1.86022306582559e-05,1.42250766725985,299.482138895052,349,594,"regulation of programmed cell death","BP"
"72","GO:0016055",2.02534569417057e-05,2.87406015037594,37.230803505124,55,74,"Wnt receptor signaling pathway","BP"
"73","GO:0035295",2.16996382334275e-05,3.87678916827853,24.6256783882239,39,49,"tube development","BP"
"74","GO:0030802",2.45350553192085e-05,2.73084916760017,39.8301161156719,58,79,"regulation of cyclic nucleotide biosynthetic process","BP"
"75","GO:0006140",2.67540774736525e-05,2.62273148505676,42.3510095407144,61,84,"regulation of nucleotide metabolic process","BP"
"76","GO:0030814",2.83320159632374e-05,2.76811122614998,38.3175800606464,56,76,"regulation of cAMP metabolic process","BP"
"77","GO:0008361",4.23186231722065e-05,1.91103634776313,82.6853043413949,108,164,"regulation of cell size","BP"
"78","GO:0008544",4.67748449349358e-05,2.00381546340134,71.5569863824748,95,142,"epidermis development","BP"
"79","GO:0009790",4.8074588950778e-05,1.92721857339239,78.3880171184023,103,157,"embryonic development","BP"
"80","GO:0051216",4.99922668133375e-05,7.58175822012207,13.0915153760652,23,26,"cartilage development","BP"
"81","GO:0007160",5.02885088128755e-05,2.43420018453337,45.3760816507655,64,90,"cell-matrix adhesion","BP"
"82","GO:0048468",5.40304507387331e-05,1.88421994582509,81.9472361809045,107,165,"cell development","BP"
"83","GO:0007389",5.64325636650722e-05,4.1311899759904,20.5229837805516,33,41,"pattern specification process","BP"
"84","GO:0043583",6.56639438829253e-05,Inf,7.04000593780153,14,14,"ear development","BP"
"85","GO:0051261",6.78548328668437e-05,4.07149174528302,20.6713260853487,33,41,"protein depolymerization","BP"
"86","GO:0007605",7.32166761185607e-05,2.05405748481277,63.4941542104484,85,126,"sensory perception of sound","BP"
"87","GO:0008219",7.87155146001768e-05,1.29948223471840,462.331854152799,518,917,"cell death","BP"
"88","GO:0048771",8.11716453955608e-05,2.97022222222222,30.2156673830875,45,60,"tissue remodeling","BP"
"89","GO:0055002",8.2146189142149e-05,16.7575,9.0752163301531,17,18,"striated muscle cell development","BP"
"90","GO:0007178",0.000106336002665693,2.05503151836287,60.5014422010206,81,120,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"91","GO:0007369",0.000108127123231492,3.1142834438289,27.2256489904593,41,54,"gastrulation","BP"
"92","GO:0000902",0.000109075189352249,1.53862891250974,159.035765164580,192,318,"cell morphogenesis","BP"
"93","GO:0008543",0.000113039382581068,5.12955382123399,15.6295392352637,26,31,"fibroblast growth factor receptor signaling pathway","BP"
"94","GO:0001756",0.000126366821758856,9.3658428949691,10.5877523851786,19,21,"somitogenesis","BP"
"95","GO:0007268",0.000127894922551210,1.87752076262843,75.3971805773104,98,150,"synaptic transmission","BP"
"96","GO:0010863",0.000144810036104580,2.96236162361624,28.2340063604763,42,56,"positive regulation of phospholipase C activity","BP"
"97","GO:0017015",0.000144810036104580,2.96236162361624,28.2340063604763,42,56,"regulation of transforming growth factor beta receptor signaling pathway","BP"
"98","GO:0002790",0.000149539339821669,3.45458566794456,22.6880408253827,35,45,"peptide secretion","BP"
"99","GO:0048863",0.000154531758131260,15.7694456697544,8.57103764514459,16,17,"stem cell differentiation","BP"
"100","GO:0031281",0.000175537175073003,3.8236074270557,19.6629687153317,31,39,"positive regulation of cyclase activity","BP"
"101","GO:0001707",0.000180202448000745,5.67044450986164,13.6128244952296,23,27,"mesoderm formation","BP"
"102","GO:0048704",0.000187017158095706,4.93880861102920,15.1143512693361,25,30,"embryonic skeletal system morphogenesis","BP"
"103","GO:0010817",0.000194431641057781,1.8465086996337,75.1226240662673,97,149,"regulation of hormone levels","BP"
"104","GO:0001558",0.000201533982965182,2.67935015337289,31.7223419273349,46,63,"regulation of cell growth","BP"
"105","GO:0009967",0.000214566509806722,1.67964675946715,101.792450037010,127,202,"positive regulation of signal transduction","BP"
"106","GO:0043244",0.000233406407911328,3.35538847117794,22.1838621403742,34,44,"regulation of protein complex disassembly","BP"
"107","GO:0051093",0.000235135406694462,1.56933030565167,130.62697402889,159,261,"negative regulation of developmental process","BP"
"108","GO:0007417",0.000255182129025951,2.2920982413584,40.9907581335938,57,82,"central nervous system development","BP"
"109","GO:0051349",0.000257310744206181,3.50839269630721,20.6713260853487,32,41,"positive regulation of lyase activity","BP"
"110","GO:0048513",0.000259439942237596,1.59588355374101,116.047691690084,143,238,"organ development","BP"
"111","GO:0007498",0.000281911405043698,3.0455540793229,24.6957969513098,37,49,"mesoderm development","BP"
"112","GO:0006936",0.000281992165892148,2.62968034125020,31.1662941439428,45,62,"muscle contraction","BP"
"113","GO:0006171",0.000283871647037189,2.30674362389621,40.3225567803507,56,80,"cAMP biosynthetic process","BP"
"114","GO:0048663",0.000285346091330032,14.8143509650803,8.05804827484081,15,16,"neuron fate commitment","BP"
"115","GO:0007631",0.000362149842349003,3.25622051886792,21.6796834553657,33,43,"feeding behavior","BP"
