"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0007608","sensory perception of smell",331,69,26.43,"7.4e-14"
"GO:0007606","sensory perception of chemical stimulus",374,71,29.87,"3.8e-12"
"GO:0007186","G-protein coupled receptor protein signa...",1024,124,81.77,"1.2e-06"
"GO:0050890","cognition",814,99,65,"1.3e-05"
"GO:0007600","sensory perception",708,88,56.54,"1.7e-05"
"GO:0019882","antigen processing and presentation",57,13,4.55,"0.00044"
"GO:0006081","cellular aldehyde metabolic process",27,8,2.16,"0.00090"
"GO:0008209","androgen metabolic process",14,5,1.12,"0.00350"
"GO:0050832","defense response to fungus",14,5,1.12,"0.00350"
"GO:0034754","cellular hormone metabolic process",64,12,5.11,"0.00428"
"GO:0006702","androgen biosynthetic process",5,3,0.4,"0.00449"
"GO:0007614","short-term memory",5,3,0.4,"0.00449"
"GO:0050896","response to stimulus",3428,309,273.75,"0.00600"
"GO:0016042","lipid catabolic process",205,27,16.37,"0.00682"
"GO:0044282","small molecule catabolic process",235,30,18.77,"0.00705"
"GO:0016054","organic acid catabolic process",121,18,9.66,"0.00741"
"GO:0046395","carboxylic acid catabolic process",121,18,9.66,"0.00741"
"GO:0008202","steroid metabolic process",217,28,17.33,"0.00783"
"GO:0006767","water-soluble vitamin metabolic process",38,8,3.03,"0.00910"
"GO:0009056","catabolic process",992,99,79.22,"0.01106"
"GO:0042446","hormone biosynthetic process",33,7,2.64,"0.01378"
"GO:0008210","estrogen metabolic process",7,3,0.56,"0.01392"
"GO:0009133","nucleoside diphosphate biosynthetic proc...",7,3,0.56,"0.01392"
"GO:0008306","associative learning",19,5,1.52,"0.01453"
"GO:0031640","killing of cells of another organism",19,5,1.52,"0.01453"
"GO:0006349","regulation of gene expression by genetic...",13,4,1.04,"0.01612"
"GO:0033238","regulation of cellular amine metabolic p...",13,4,1.04,"0.01612"
"GO:0071514","genetic imprinting",13,4,1.04,"0.01612"
"GO:0042445","hormone metabolic process",112,16,8.94,"0.01612"
"GO:0009620","response to fungus",27,6,2.16,"0.01766"
"GO:0050848","regulation of calcium-mediated signaling",20,5,1.6,"0.01813"
"GO:0050877","neurological system process",1149,111,91.76,"0.01828"
"GO:0006560","proline metabolic process",8,3,0.64,"0.02096"
"GO:0006914","autophagy",45,8,3.59,"0.02452"
"GO:0002028","regulation of sodium ion transport",15,4,1.2,"0.02708"
"GO:0010869","regulation of receptor biosynthetic proc...",9,3,0.72,"0.02960"
"GO:0016925","protein sumoylation",9,3,0.72,"0.02960"
"GO:0009310","amine catabolic process",74,11,5.91,"0.03218"
"GO:0009132","nucleoside diphosphate metabolic process",16,4,1.28,"0.03388"
"GO:0034199","activation of protein kinase A activity",16,4,1.28,"0.03388"
"GO:0050850","positive regulation of calcium-mediated ...",16,4,1.28,"0.03388"
