"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0007608","sensory perception of smell",331,86,26.85,"3.7e-23"
"GO:0007606","sensory perception of chemical stimulus",374,92,30.34,"7.1e-23"
"GO:0007600","sensory perception",708,111,57.44,"5.5e-12"
"GO:0007186","G-protein coupled receptor protein signa...",1024,145,83.07,"7.4e-12"
"GO:0050890","cognition",814,120,66.03,"4.5e-11"
"GO:0050877","neurological system process",1149,134,93.21,"7.3e-06"
"GO:0007166","cell surface receptor linked signaling p...",1843,189,149.51,"0.00025"
"GO:0023033","signaling pathway",1934,192,156.89,"0.00116"
"GO:0003008","system process",1477,151,119.82,"0.00129"
"GO:0019882","antigen processing and presentation",57,12,4.62,"0.00176"
"GO:0050896","response to stimulus",3428,317,278.09,"0.00295"
"GO:0008625","induction of apoptosis via death domain ...",14,5,1.14,"0.00375"
"GO:0031056","regulation of histone modification",22,6,1.78,"0.00676"
"GO:0043254","regulation of protein complex assembly",76,13,6.17,"0.00769"
"GO:0031333","negative regulation of protein complex a...",30,7,2.43,"0.00880"
"GO:0009304","tRNA transcription",6,3,0.49,"0.00883"
"GO:0030837","negative regulation of actin filament po...",24,6,1.95,"0.01061"
"GO:0001676","long-chain fatty acid metabolic process",7,3,0.57,"0.01453"
"GO:0008210","estrogen metabolic process",7,3,0.57,"0.01453"
"GO:0010469","regulation of receptor activity",19,5,1.54,"0.01548"
"GO:0033238","regulation of cellular amine metabolic p...",13,4,1.05,"0.01700"
"GO:0030833","regulation of actin filament polymerizat...",50,9,4.06,"0.01789"
"GO:0032272","negative regulation of protein polymeriz...",27,6,2.19,"0.01896"
"GO:0032271","regulation of protein polymerization",60,10,4.87,"0.02157"
"GO:0007130","synaptonemal complex assembly",8,3,0.65,"0.02187"
"GO:0031060","regulation of histone methylation",8,3,0.65,"0.02187"
"GO:0050832","defense response to fungus",14,4,1.14,"0.02230"
"GO:0007129","synapsis",15,4,1.22,"0.02851"
"GO:0009065","glutamine family amino acid catabolic pr...",15,4,1.22,"0.02851"
"GO:0070192","chromosome organization involved in meio...",15,4,1.22,"0.02851"
"GO:0051131","chaperone-mediated protein complex assem...",9,3,0.73,"0.03085"
"GO:0070193","synaptonemal complex organization",9,3,0.73,"0.03085"
"GO:0008064","regulation of actin polymerization or de...",55,9,4.46,"0.03167"
"GO:0030832","regulation of actin filament length",55,9,4.46,"0.03167"
"GO:0006355","regulation of transcription, DNA-depende...",1733,161,140.59,"0.03184"
"GO:0034754","cellular hormone metabolic process",64,10,5.19,"0.03241"
"GO:0050850","positive regulation of calcium-mediated ...",16,4,1.3,"0.03563"
"GO:0008637","apoptotic mitochondrial changes",24,5,1.95,"0.04047"
"GO:0042069","regulation of catecholamine metabolic pr...",10,3,0.81,"0.04147"
"GO:0001836","release of cytochrome c from mitochondri...",17,4,1.38,"0.04369"
"GO:0009303","rRNA transcription",17,4,1.38,"0.04369"
"GO:0060135","maternal process involved in female preg...",17,4,1.38,"0.04369"
"GO:0051252","regulation of RNA metabolic process",1778,163,144.24,"0.04588"
