"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0048731","system development",2546,1739,1285.14,"< 1e-30"
"GO:0007275","multicellular organismal development",3024,1996,1526.42,"< 1e-30"
"GO:0048856","anatomical structure development",2741,1836,1383.57,"< 1e-30"
"GO:0032502","developmental process",3322,2146,1676.84,"< 1e-30"
"GO:0048513","organ development",1977,1343,997.93,"< 1e-30"
"GO:0007399","nervous system development",1147,843,578.97,"< 1e-30"
"GO:0030154","cell differentiation",1804,1231,910.6,"< 1e-30"
"GO:0009653","anatomical structure morphogenesis",1388,977,700.62,"< 1e-30"
"GO:0032501","multicellular organismal process",4368,2630,2204.82,"< 1e-30"
"GO:0048869","cellular developmental process",1897,1266,957.54,"< 1e-30"
"GO:0050789","regulation of biological process",6670,3778,3366.8,"< 1e-30"
"GO:0065007","biological regulation",7047,3959,3557.1,"< 1e-30"
"GO:0007154","cell communication",1676,1110,845.99,"< 1e-30"
"GO:0048468","cell development",818,599,412.9,"< 1e-30"
"GO:0050794","regulation of cellular process",6382,3616,3221.43,"< 1e-30"
"GO:0009887","organ morphogenesis",683,511,344.76,"< 1e-30"
"GO:0022008","neurogenesis",654,492,330.12,"< 1e-30"
"GO:0051252","regulation of RNA metabolic process",1778,1153,897.48,"< 1e-30"
"GO:0019219","regulation of nucleobase, nucleoside, nu...",2688,1655,1356.82,"< 1e-30"
"GO:0051171","regulation of nitrogen compound metaboli...",2714,1669,1369.94,"< 1e-30"
"GO:0030182","neuron differentiation",556,426,280.65,"< 1e-30"
"GO:0006355","regulation of transcription, DNA-depende...",1733,1123,874.76,"< 1e-30"
"GO:0048699","generation of neurons",606,455,305.89,"< 1e-30"
"GO:0023052","signaling",4018,2361,2028.16,"< 1e-30"
"GO:0009888","tissue development",801,574,404.32,"< 1e-30"
"GO:0006357","regulation of transcription from RNA pol...",739,536,373.02,"< 1e-30"
"GO:0031326","regulation of cellular biosynthetic proc...",2827,1722,1426.98,"< 1e-30"
"GO:0009889","regulation of biosynthetic process",2849,1732,1438.08,"< 1e-30"
"GO:0019222","regulation of metabolic process",3513,2089,1773.25,"< 1e-30"
"GO:0031323","regulation of cellular metabolic process",3337,1992,1684.41,"< 1e-30"
"GO:0045449","regulation of transcription",2463,1515,1243.24,"< 1e-30"
"GO:0010556","regulation of macromolecule biosynthetic...",2691,1634,1358.33,"< 1e-30"
"GO:0010468","regulation of gene expression",2739,1656,1382.56,"< 1e-30"
"GO:0010628","positive regulation of gene expression",608,446,306.9,"< 1e-30"
"GO:0080090","regulation of primary metabolic process",3182,1893,1606.17,"< 1e-30"
"GO:0060255","regulation of macromolecule metabolic pr...",3144,1872,1586.99,"< 1e-30"
"GO:0031328","positive regulation of cellular biosynth...",720,512,363.43,"< 1e-30"
"GO:0009891","positive regulation of biosynthetic proc...",730,518,368.48,"< 1e-30"
"GO:0010557","positive regulation of macromolecule bio...",675,484,340.72,"< 1e-30"
"GO:0007417","central nervous system development",479,362,241.78,"2.0e-30"
"GO:0045893","positive regulation of transcription, DN...",495,372,249.86,"2.2e-30"
"GO:0051239","regulation of multicellular organismal p...",1045,703,527.48,"2.4e-30"
"GO:0023034","intracellular signaling pathway",889,611,448.74,"3.2e-30"
"GO:0051254","positive regulation of RNA metabolic pro...",502,376,253.39,"3.4e-30"
"GO:0000904","cell morphogenesis involved in different...",318,257,160.52,"7.1e-30"
"GO:0007389","pattern specification process",303,247,152.94,"7.1e-30"
"GO:0006350","transcription",2557,1547,1290.69,"8.0e-30"
"GO:0051173","positive regulation of nitrogen compound...",682,486,344.25,"8.4e-30"
"GO:0048518","positive regulation of biological proces...",2055,1272,1037.3,"8.5e-30"
"GO:0045941","positive regulation of transcription",584,426,294.78,"9.4e-30"
"GO:0045935","positive regulation of nucleobase, nucle...",661,473,333.65,"1.1e-29"
"GO:0006351","transcription, DNA-dependent",1852,1159,934.83,"1.1e-29"
"GO:0032774","RNA biosynthetic process",1856,1160,936.85,"2.3e-29"
"GO:0006366","transcription from RNA polymerase II pro...",865,593,436.62,"7.2e-29"
"GO:0001501","skeletal system development",385,299,194.34,"7.9e-29"
"GO:0023046","signaling process",3483,2039,1758.11,"9.3e-29"
"GO:0023060","signal transmission",3483,2039,1758.11,"9.3e-29"
"GO:0048598","embryonic morphogenesis",359,282,181.21,"9.9e-29"
"GO:0045595","regulation of cell differentiation",549,402,277.12,"1.1e-28"
"GO:0048522","positive regulation of cellular process",1883,1172,950.48,"1.3e-28"
"GO:0048519","negative regulation of biological proces...",1847,1150,932.31,"3.9e-28"
"GO:0009790","embryonic development",671,475,338.7,"4.7e-28"
"GO:0045944","positive regulation of transcription fro...",394,303,198.88,"7.1e-28"
"GO:0010646","regulation of cell communication",1117,736,563.83,"1.4e-27"
"GO:0050793","regulation of developmental process",769,532,388.17,"2.1e-27"
"GO:0048666","neuron development",416,315,209.98,"7.6e-27"
"GO:0048568","embryonic organ development",242,201,122.15,"1.4e-26"
"GO:0048523","negative regulation of cellular process",1679,1049,847.5,"2.8e-26"
"GO:0003002","regionalization",234,195,118.12,"3.5e-26"
"GO:0009893","positive regulation of metabolic process",972,646,490.63,"1.1e-25"
"GO:0010604","positive regulation of macromolecule met...",896,600,452.27,"4.3e-25"
"GO:0007423","sensory organ development",269,216,135.78,"1.4e-24"
"GO:0007267","cell-cell signaling",690,477,348.29,"1.7e-24"
"GO:0031175","neuron projection development",340,262,171.62,"1.8e-24"
"GO:0031325","positive regulation of cellular metaboli...",928,614,468.42,"1.2e-23"
"GO:0048562","embryonic organ morphogenesis",160,140,80.76,"2.1e-23"
"GO:0048667","cell morphogenesis involved in neuron di...",267,212,134.77,"5.8e-23"
"GO:0007167","enzyme linked receptor protein signaling...",447,326,225.63,"6.3e-23"
"GO:0007409","axonogenesis",240,194,121.14,"7.5e-23"
"GO:0048646","anatomical structure formation involved ...",458,332,231.18,"1.4e-22"
"GO:0048812","neuron projection morphogenesis",274,215,138.31,"4.7e-22"
"GO:0032989","cellular component morphogenesis",511,363,257.94,"4.9e-22"
"GO:0010629","negative regulation of gene expression",520,368,262.48,"7.4e-22"
"GO:0061061","muscle structure development",324,246,163.54,"1.8e-21"
"GO:0007420","brain development",339,255,171.12,"3.1e-21"
"GO:0009966","regulation of signal transduction",943,614,476,"4.0e-21"
"GO:0023051","regulation of signaling process",943,614,476,"4.0e-21"
"GO:0000902","cell morphogenesis",469,334,236.74,"1.2e-20"
"GO:0060284","regulation of cell development",248,195,125.18,"2.6e-20"
"GO:0016481","negative regulation of transcription",464,330,234.21,"3.0e-20"
"GO:0030030","cell projection organization",469,333,236.74,"3.1e-20"
"GO:0043583","ear development",116,104,58.55,"1.6e-19"
"GO:0009952","anterior/posterior pattern formation",156,132,78.74,"2.6e-19"
"GO:0051093","negative regulation of developmental pro...",281,214,141.84,"4.1e-19"
"GO:0006928","cellular component movement",624,421,314.97,"1.1e-18"
"GO:0031327","negative regulation of cellular biosynth...",569,388,287.21,"1.8e-18"
"GO:0045892","negative regulation of transcription, DN...",373,270,188.28,"1.9e-18"
"GO:0048729","tissue morphogenesis",263,201,132.75,"2.5e-18"
"GO:0007517","muscle organ development",265,202,133.76,"3.4e-18"
"GO:0051253","negative regulation of RNA metabolic pro...",379,273,191.31,"3.7e-18"
"GO:0009890","negative regulation of biosynthetic proc...",581,394,293.27,"4.1e-18"
"GO:0045596","negative regulation of cell differentiat...",227,177,114.58,"7.2e-18"
"GO:0010558","negative regulation of macromolecule bio...",554,377,279.64,"9.5e-18"
"GO:0051960","regulation of nervous system development",229,178,115.59,"1.0e-17"
"GO:0043009","chordate embryonic development",410,290,206.95,"2.1e-17"
"GO:0009792","embryonic development ending in birth or...",415,293,209.48,"2.2e-17"
"GO:0048858","cell projection morphogenesis",306,226,154.46,"2.5e-17"
"GO:0007165","signal transduction",3095,1764,1562.26,"7.3e-17"
"GO:0048705","skeletal system morphogenesis",132,112,66.63,"9.1e-17"
"GO:0045934","negative regulation of nucleobase, nucle...",518,352,261.47,"1.7e-16"
"GO:0050767","regulation of neurogenesis",205,160,103.48,"2.4e-16"
"GO:0051172","negative regulation of nitrogen compound...",526,356,265.51,"2.9e-16"
"GO:0032990","cell part morphogenesis",317,230,160.01,"4.4e-16"
"GO:0000122","negative regulation of transcription fro...",274,203,138.31,"6.2e-16"
"GO:0035295","tube development",295,216,148.91,"6.6e-16"
"GO:0045664","regulation of neuron differentiation",171,137,86.32,"6.7e-16"
"GO:0007242","intracellular signaling cascade",1573,942,794,"1.0e-15"
