"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0006281","DNA repair",284,246,197.58,"9.6e-12"
"GO:0034984","cellular response to DNA damage stimulus",334,278,232.36,"5.1e-09"
"GO:0006259","DNA metabolic process",545,436,379.16,"1.4e-08"
"GO:0006974","response to DNA damage stimulus",372,305,258.8,"2.3e-08"
"GO:0033554","cellular response to stress",584,464,406.29,"2.6e-08"
"GO:0044248","cellular catabolic process",747,584,519.69,"3.9e-08"
"GO:0006810","transport",2801,2063,1948.66,"5.6e-08"
"GO:0051234","establishment of localization",2828,2082,1967.44,"5.9e-08"
"GO:0051186","cofactor metabolic process",198,170,137.75,"6.5e-08"
"GO:0051436","negative regulation of ubiquitin-protein...",52,51,36.18,"1.5e-07"
"GO:0007049","cell cycle",847,652,589.26,"4.4e-07"
"GO:0044265","cellular macromolecule catabolic process",387,311,269.24,"7.7e-07"
"GO:0051352","negative regulation of ligase activity",54,52,37.57,"8.9e-07"
"GO:0051444","negative regulation of ubiquitin-protein...",54,52,37.57,"8.9e-07"
"GO:0015031","protein transport",870,667,605.26,"9.2e-07"
"GO:0006950","response to stress",1737,1293,1208.43,"9.6e-07"
"GO:0031145","anaphase-promoting complex-dependent pro...",53,51,36.87,"1.2e-06"
"GO:0045184","establishment of protein localization",880,673,612.22,"1.5e-06"
"GO:0009056","catabolic process",1443,1080,1003.9,"1.7e-06"
"GO:0034962","cellular biopolymer catabolic process",364,291,253.24,"4.1e-06"
"GO:0022402","cell cycle process",572,445,397.94,"4.5e-06"
"GO:0006732","coenzyme metabolic process",146,125,101.57,"5.0e-06"
"GO:0051438","regulation of ubiquitin-protein ligase a...",66,61,45.92,"6.6e-06"
"GO:0051716","cellular response to stimulus",822,626,571.87,"9.3e-06"
"GO:0051443","positive regulation of ubiquitin-protein...",59,55,41.05,"9.6e-06"
"GO:0006396","RNA processing",511,398,355.5,"1.2e-05"
"GO:0051439","regulation of ubiquitin-protein ligase a...",58,54,40.35,"1.3e-05"
"GO:0051179","localization",3364,2437,2340.34,"1.4e-05"
"GO:0006310","DNA recombination",113,98,78.61,"1.6e-05"
"GO:0051340","regulation of ligase activity",68,62,47.31,"1.8e-05"
"GO:0051437","positive regulation of ubiquitin-protein...",56,52,38.96,"2.3e-05"
"GO:0008104","protein localization",1011,760,703.35,"2.5e-05"
"GO:0051351","positive regulation of ligase activity",61,56,42.44,"2.8e-05"
"GO:0046907","intracellular transport",785,596,546.13,"2.9e-05"
"GO:0042180","cellular ketone metabolic process",626,479,435.51,"4.7e-05"
"GO:0006412","translation",427,333,297.06,"5.0e-05"
"GO:0051603","proteolysis involved in cellular protein...",243,196,169.06,"5.5e-05"
"GO:0044257","cellular protein catabolic process",246,198,171.14,"6.5e-05"
"GO:0008380","RNA splicing",258,207,179.49,"6.5e-05"
"GO:0006082","organic acid metabolic process",620,473,431.33,"8.6e-05"
"GO:0019752","carboxylic acid metabolic process",612,467,425.77,"9.2e-05"
"GO:0043436","oxoacid metabolic process",612,467,425.77,"9.2e-05"
"GO:0044267","cellular protein metabolic process",2420,1759,1683.6,"0.00012"
"GO:0033036","macromolecule localization",1088,810,756.92,"0.00012"
"GO:0006397","mRNA processing",273,217,189.93,"0.00013"
"GO:0051648","vesicle localization",32,31,22.26,"0.00013"
"GO:0006302","double-strand break repair",55,50,38.26,"0.00015"
"GO:0048583","regulation of response to stimulus",473,364,329.07,"0.00017"
"GO:0019538","protein metabolic process",2930,2117,2038.4,"0.00018"
"GO:0043933","macromolecular complex subunit organizat...",713,538,496.03,"0.00021"
"GO:0006954","inflammatory response",343,268,238.63,"0.00021"
"GO:0007127","meiosis I",37,35,25.74,"0.00021"
"GO:0019941","modification-dependent protein catabolic...",234,187,162.79,"0.00022"
"GO:0043632","modification-dependent macromolecule cat...",234,187,162.79,"0.00022"
"GO:0006457","protein folding",169,138,117.57,"0.00024"
"GO:0000279","M phase",342,266,237.93,"0.00038"
"GO:0016052","carbohydrate catabolic process",116,97,80.7,"0.00038"
"GO:0016071","mRNA metabolic process",326,254,226.8,"0.00042"
"GO:0006520","cellular amino acid metabolic process",245,194,170.45,"0.00043"
"GO:0044106","cellular amine metabolic process",245,194,170.45,"0.00043"
"GO:0051188","cofactor biosynthetic process",102,86,70.96,"0.00046"
"GO:0051650","establishment of vesicle localization",28,27,19.48,"0.00051"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",228,181,158.62,"0.00052"
"GO:0044270","nitrogen compound catabolic process",97,82,67.48,"0.00052"
"GO:0009057","macromolecule catabolic process",948,704,659.52,"0.00055"
"GO:0006605","protein targeting",243,192,169.06,"0.00057"
"GO:0010498","proteasomal protein catabolic process",105,88,73.05,"0.00060"
"GO:0043161","proteasomal ubiquitin-dependent protein ...",105,88,73.05,"0.00060"
"GO:0044419","interspecies interaction between organis...",261,205,181.58,"0.00068"
"GO:0006886","intracellular protein transport",532,403,370.11,"0.00076"
"GO:0016192","vesicle-mediated transport",604,455,420.2,"0.00080"
"GO:0051649","establishment of localization in cell",1118,824,777.79,"0.00085"
"GO:0034641","cellular nitrogen compound metabolic pro...",307,238,213.58,"0.00105"
"GO:0043285","biopolymer catabolic process",926,685,644.22,"0.00127"
"GO:0051321","meiotic cell cycle",105,87,73.05,"0.00136"
"GO:0006996","organelle organization",1351,988,939.89,"0.00137"
"GO:0046700","heterocycle catabolic process",79,67,54.96,"0.00141"
"GO:0006903","vesicle targeting",18,18,12.52,"0.00145"
"GO:0007131","reciprocal meiotic recombination",18,18,12.52,"0.00145"
