"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0009056","catabolic process",992,777,698.04,"2.9e-09"
"GO:0044281","small molecule metabolic process",1533,1175,1078.72,"3.2e-09"
"GO:0044248","cellular catabolic process",748,594,526.34,"5.5e-09"
"GO:0051186","cofactor metabolic process",198,171,139.33,"8.3e-08"
"GO:0015031","protein transport",872,680,613.6,"1.1e-07"
"GO:0042180","cellular ketone metabolic process",620,492,436.27,"1.4e-07"
"GO:0006082","organic acid metabolic process",614,487,432.05,"1.8e-07"
"GO:0045184","establishment of protein localization",883,686,621.34,"2.7e-07"
"GO:0019752","carboxylic acid metabolic process",606,480,426.42,"3.1e-07"
"GO:0043436","oxoacid metabolic process",606,480,426.42,"3.1e-07"
"GO:0006281","DNA repair",285,237,200.54,"3.6e-07"
"GO:0009057","macromolecule catabolic process",468,375,329.32,"7.1e-07"
"GO:0034641","cellular nitrogen compound metabolic pro...",479,382,337.06,"1.4e-06"
"GO:0033036","macromolecule localization",1218,927,857.06,"1.6e-06"
"GO:0008104","protein localization",1017,778,715.63,"3.3e-06"
"GO:0044265","cellular macromolecule catabolic process",386,310,271.61,"4.5e-06"
"GO:0006259","DNA metabolic process",545,429,383.5,"4.6e-06"
"GO:0006974","response to DNA damage stimulus",373,300,262.47,"5.0e-06"
"GO:0046907","intracellular transport",785,606,552.38,"6.0e-06"
"GO:0006732","coenzyme metabolic process",146,125,102.74,"1.2e-05"
"GO:0007049","cell cycle",848,650,596.71,"1.4e-05"
"GO:0051603","proteolysis involved in cellular protein...",271,221,190.69,"1.5e-05"
"GO:0051234","establishment of localization",2838,2086,1997,"1.8e-05"
"GO:0006810","transport",2810,2064,1977.3,"2.7e-05"
"GO:0044257","cellular protein catabolic process",275,223,193.51,"2.9e-05"
"GO:0033554","cellular response to stress",625,484,439.79,"3.0e-05"
"GO:0016052","carbohydrate catabolic process",118,102,83.03,"3.2e-05"
"GO:0022402","cell cycle process",575,446,404.61,"4.6e-05"
"GO:0051649","establishment of localization in cell",1132,853,796.55,"5.6e-05"
"GO:0019538","protein metabolic process",2852,2090,2006.85,"6.0e-05"
"GO:0006520","cellular amino acid metabolic process",245,199,172.4,"6.3e-05"
"GO:0051716","cellular response to stimulus",946,717,665.67,"6.7e-05"
"GO:0002250","adaptive immune response",119,102,83.74,"7.0e-05"
"GO:0002460","adaptive immune response based on somati...",118,101,83.03,"8.5e-05"
"GO:0031145","anaphase-promoting complex-dependent pro...",53,49,37.29,"8.9e-05"
"GO:0044283","small molecule biosynthetic process",322,256,226.58,"0.00011"
"GO:0051436","negative regulation of ubiquitin-protein...",52,48,36.59,"0.00012"
"GO:0006412","translation",427,334,300.46,"0.00013"
"GO:0071103","DNA conformation change",151,126,106.25,"0.00015"
"GO:0030163","protein catabolic process",316,251,222.36,"0.00015"
"GO:0044271","cellular nitrogen compound biosynthetic ...",202,165,142.14,"0.00015"
"GO:0019941","modification-dependent protein catabolic...",234,189,164.66,"0.00018"
"GO:0043632","modification-dependent macromolecule cat...",234,189,164.66,"0.00018"
"GO:0010498","proteasomal protein catabolic process",105,90,73.88,"0.00019"
"GO:0043161","proteasomal ubiquitin-dependent protein ...",105,90,73.88,"0.00019"
"GO:0044267","cellular protein metabolic process",2363,1734,1662.76,"0.00020"
"GO:0051438","regulation of ubiquitin-protein ligase a...",66,59,46.44,"0.00020"
"GO:0051641","cellular localization",1205,901,847.92,"0.00021"
"GO:0065004","protein-DNA complex assembly",113,96,79.51,"0.00023"
"GO:0031397","negative regulation of protein ubiquitin...",60,54,42.22,"0.00025"
"GO:0006886","intracellular protein transport",532,410,374.35,"0.00025"
"GO:0007127","meiosis I",37,35,26.04,"0.00030"
"GO:0051352","negative regulation of ligase activity",54,49,38,"0.00030"
"GO:0051444","negative regulation of ubiquitin-protein...",54,49,38,"0.00030"
"GO:0051443","positive regulation of ubiquitin-protein...",59,53,41.52,"0.00032"
"GO:0044275","cellular carbohydrate catabolic process",93,80,65.44,"0.00033"
"GO:0043933","macromolecular complex subunit organizat...",793,600,558.01,"0.00036"
"GO:0051439","regulation of ubiquitin-protein ligase a...",58,52,40.81,"0.00042"
