"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0019882","antigen processing and presentation",57,14,5.09,"0.00037"
"GO:0007608","sensory perception of smell",331,48,29.54,"0.00052"
"GO:0050832","defense response to fungus",14,6,1.25,"0.00080"
"GO:0008210","estrogen metabolic process",7,4,0.62,"0.00177"
"GO:0007606","sensory perception of chemical stimulus",374,50,33.38,"0.00245"
"GO:0008202","steroid metabolic process",217,32,19.37,"0.00320"
"GO:0007186","G-protein coupled receptor protein signa...",1024,116,91.38,"0.00376"
"GO:0034754","cellular hormone metabolic process",64,13,5.71,"0.00378"
"GO:0031640","killing of cells of another organism",19,6,1.7,"0.00489"
"GO:0008209","androgen metabolic process",14,5,1.25,"0.00566"
"GO:0044282","small molecule catabolic process",235,33,20.97,"0.00600"
"GO:0006702","androgen biosynthetic process",5,3,0.45,"0.00618"
"GO:0007171","activation of transmembrane receptor pro...",5,3,0.45,"0.00618"
"GO:0007614","short-term memory",5,3,0.45,"0.00618"
"GO:0055094","response to lipoprotein stimulus",5,3,0.45,"0.00618"
"GO:0009056","catabolic process",992,111,88.53,"0.00663"
"GO:0042446","hormone biosynthetic process",33,8,2.95,"0.00722"
"GO:0002028","regulation of sodium ion transport",15,5,1.34,"0.00788"
"GO:0006081","cellular aldehyde metabolic process",27,7,2.41,"0.00800"
"GO:0009620","response to fungus",27,7,2.41,"0.00800"
"GO:0016042","lipid catabolic process",205,29,18.29,"0.00866"
"GO:0043393","regulation of protein binding",29,7,2.59,"0.01202"
"GO:0010885","regulation of cholesterol storage",11,4,0.98,"0.01249"
"GO:0032147","activation of protein kinase activity",107,17,9.55,"0.01360"
"GO:0031333","negative regulation of protein complex a...",30,7,2.68,"0.01450"
"GO:0030837","negative regulation of actin filament po...",24,6,2.14,"0.01653"
"GO:0010878","cholesterol storage",12,4,1.07,"0.01743"
"GO:0050890","cognition",814,90,72.64,"0.01834"
"GO:0009133","nucleoside diphosphate biosynthetic proc...",7,3,0.62,"0.01886"
"GO:0050872","white fat cell differentiation",7,3,0.62,"0.01886"
"GO:0007600","sensory perception",708,79,63.18,"0.02141"
"GO:0008306","associative learning",19,5,1.7,"0.02262"
"GO:0006349","regulation of gene expression by genetic...",13,4,1.16,"0.02344"
"GO:0033238","regulation of cellular amine metabolic p...",13,4,1.16,"0.02344"
"GO:0071514","genetic imprinting",13,4,1.16,"0.02344"
"GO:0000245","spliceosome assembly",33,7,2.95,"0.02409"
"GO:0044242","cellular lipid catabolic process",97,15,8.66,"0.02462"
"GO:0050848","regulation of calcium-mediated signaling",20,5,1.78,"0.02801"
"GO:0006560","proline metabolic process",8,3,0.71,"0.02821"
"GO:0032272","negative regulation of protein polymeriz...",27,6,2.41,"0.02892"
"GO:0006629","lipid metabolic process",852,92,76.04,"0.02977"
"GO:0009062","fatty acid catabolic process",50,9,4.46,"0.03105"
"GO:0006305","DNA alkylation",28,6,2.5,"0.03412"
"GO:0006306","DNA methylation",28,6,2.5,"0.03412"
"GO:0007033","vacuole organization",43,8,3.84,"0.03424"
"GO:0051494","negative regulation of cytoskeleton orga...",51,9,4.55,"0.03484"
"GO:0052547","regulation of peptidase activity",85,13,7.59,"0.03768"
"GO:0015711","organic anion transport",44,8,3.93,"0.03870"
"GO:0009065","glutamine family amino acid catabolic pr...",15,4,1.34,"0.03879"
"GO:0006631","fatty acid metabolic process",222,28,19.81,"0.03885"
"GO:0006998","nuclear envelope organization",9,3,0.8,"0.03955"
"GO:0010869","regulation of receptor biosynthetic proc...",9,3,0.8,"0.03955"
"GO:0010889","regulation of sequestering of triglyceri...",9,3,0.8,"0.03955"
"GO:0016925","protein sumoylation",9,3,0.8,"0.03955"
"GO:0030224","monocyte differentiation",9,3,0.8,"0.03955"
"GO:0047496","vesicle transport along microtubule",9,3,0.8,"0.03955"
"GO:0042445","hormone metabolic process",112,16,10,"0.04004"
"GO:0016054","organic acid catabolic process",121,17,10.8,"0.04027"
"GO:0046395","carboxylic acid catabolic process",121,17,10.8,"0.04027"
"GO:0010883","regulation of lipid storage",22,5,1.96,"0.04104"
"GO:0032787","monocarboxylic acid metabolic process",331,39,29.54,"0.04416"
"GO:0043281","regulation of caspase activity",79,12,7.05,"0.04674"
"GO:0009132","nucleoside diphosphate metabolic process",16,4,1.43,"0.04818"
"GO:0042744","hydrogen peroxide catabolic process",16,4,1.43,"0.04818"
"GO:0050850","positive regulation of calcium-mediated ...",16,4,1.43,"0.04818"
"GO:0006635","fatty acid beta-oxidation",38,7,3.39,"0.04839"
"GO:0006767","water-soluble vitamin metabolic process",38,7,3.39,"0.04839"
"GO:0030258","lipid modification",97,14,8.66,"0.04871"
"GO:0010466","negative regulation of peptidase activit...",23,5,2.05,"0.04872"
"GO:0006688","glycosphingolipid biosynthetic process",10,3,0.89,"0.05284"
"GO:0007213","muscarinic acetylcholine receptor signal...",10,3,0.89,"0.05284"
"GO:0010256","endomembrane system organization",10,3,0.89,"0.05284"
"GO:0042069","regulation of catecholamine metabolic pr...",10,3,0.89,"0.05284"
"GO:0042953","lipoprotein transport",10,3,0.89,"0.05284"
"GO:0046321","positive regulation of fatty acid oxidat...",10,3,0.89,"0.05284"
"GO:0001906","cell killing",55,9,4.91,"0.05309"
"GO:0052548","regulation of endopeptidase activity",81,12,7.23,"0.05492"
"GO:0019395","fatty acid oxidation",64,10,5.71,"0.05609"
"GO:0009146","purine nucleoside triphosphate catabolic...",17,4,1.52,"0.05870"
"GO:0016052","carbohydrate catabolic process",118,16,10.53,"0.05972"
"GO:0006690","icosanoid metabolic process",48,8,4.28,"0.06035"
"GO:0034440","lipid oxidation",65,10,5.8,"0.06123"
"GO:0009310","amine catabolic process",74,11,6.6,"0.06300"
"GO:0042157","lipoprotein metabolic process",83,12,7.41,"0.06401"
"GO:0008203","cholesterol metabolic process",92,13,8.21,"0.06445"
"GO:0016125","sterol metabolic process",101,14,9.01,"0.06446"
"GO:0006356","regulation of transcription from RNA pol...",5,2,0.45,"0.06632"
"GO:0006729","tetrahydrobiopterin biosynthetic process",5,2,0.45,"0.06632"
