"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0006396","RNA processing",511,386,287.65,"2.5e-20"
"GO:0006259","DNA metabolic process",545,398,306.79,"1.3e-16"
"GO:0006974","response to DNA damage stimulus",372,280,209.41,"1.0e-14"
"GO:0006281","DNA repair",284,220,159.87,"4.1e-14"
"GO:0034984","cellular response to DNA damage stimulus",334,253,188.02,"5.6e-14"
"GO:0034660","ncRNA metabolic process",242,188,136.23,"1.9e-12"
"GO:0006412","translation",427,306,240.37,"2.1e-11"
"GO:0008380","RNA splicing",258,196,145.23,"2.5e-11"
"GO:0051186","cofactor metabolic process",198,155,111.46,"5.7e-11"
"GO:0006732","coenzyme metabolic process",146,117,82.19,"9.6e-10"
"GO:0048285","organelle fission",237,178,133.41,"1.0e-09"
"GO:0034470","ncRNA processing",173,135,97.39,"1.5e-09"
"GO:0000087","M phase of mitotic cell cycle",238,178,133.98,"1.8e-09"
"GO:0000280","nuclear division",232,174,130.6,"1.9e-09"
"GO:0007067","mitosis",232,174,130.6,"1.9e-09"
"GO:0000279","M phase",342,245,192.52,"2.3e-09"
"GO:0022402","cell cycle process",572,389,321.99,"3.1e-09"
"GO:0007049","cell cycle",847,556,476.8,"6.4e-09"
"GO:0044248","cellular catabolic process",747,495,420.5,"6.8e-09"
"GO:0006397","mRNA processing",273,199,153.68,"7.7e-09"
"GO:0006399","tRNA metabolic process",139,109,78.25,"3.4e-08"
"GO:0000278","mitotic cell cycle",416,287,234.18,"4.7e-08"
"GO:0022613","ribonucleoprotein complex biogenesis",174,132,97.95,"5.2e-08"
"GO:0042180","cellular ketone metabolic process",626,415,352.39,"1.1e-07"
"GO:0016071","mRNA metabolic process",326,228,183.51,"2.1e-07"
"GO:0006082","organic acid metabolic process",620,409,349.01,"3.1e-07"
"GO:0006414","translational elongation",85,70,47.85,"3.1e-07"
"GO:0015031","protein transport",870,559,489.74,"4.8e-07"
"GO:0045184","establishment of protein localization",880,565,495.37,"4.8e-07"
"GO:0022403","cell cycle phase",433,293,243.75,"5.7e-07"
"GO:0009056","catabolic process",1443,898,812.3,"7.5e-07"
"GO:0051188","cofactor biosynthetic process",102,81,57.42,"7.6e-07"
"GO:0019752","carboxylic acid metabolic process",612,402,344.51,"7.8e-07"
"GO:0043436","oxoacid metabolic process",612,402,344.51,"7.8e-07"
"GO:0006733","oxidoreduction coenzyme metabolic proces...",51,45,28.71,"8.5e-07"
"GO:0000075","cell cycle checkpoint",72,60,40.53,"9.9e-07"
"GO:0008104","protein localization",1011,641,569.12,"1.1e-06"
"GO:0033036","macromolecule localization",1088,685,612.46,"1.9e-06"
"GO:0044265","cellular macromolecule catabolic process",387,262,217.85,"2.1e-06"
"GO:0051301","cell division",286,199,161,"2.2e-06"
"GO:0042254","ribosome biogenesis",113,87,63.61,"3.4e-06"
"GO:0007059","chromosome segregation",78,63,43.91,"4.5e-06"
"GO:0008033","tRNA processing",74,60,41.66,"6.0e-06"
"GO:0031145","anaphase-promoting complex-dependent pro...",53,45,29.83,"8.6e-06"
"GO:0034962","cellular biopolymer catabolic process",364,245,204.9,"8.7e-06"
"GO:0033554","cellular response to stress",584,379,328.75,"9.3e-06"
"GO:0051436","negative regulation of ubiquitin-protein...",52,44,29.27,"1.3e-05"
"GO:0006302","double-strand break repair",55,46,30.96,"1.6e-05"
"GO:0009108","coenzyme biosynthetic process",64,52,36.03,"2.3e-05"
"GO:0051352","negative regulation of ligase activity",54,45,30.4,"2.3e-05"
"GO:0051444","negative regulation of ubiquitin-protein...",54,45,30.4,"2.3e-05"
"GO:0006364","rRNA processing",82,64,46.16,"3.1e-05"
"GO:0006767","water-soluble vitamin metabolic process",66,53,37.15,"3.5e-05"
"GO:0045454","cell redox homeostasis",66,53,37.15,"3.5e-05"
"GO:0051438","regulation of ubiquitin-protein ligase a...",66,53,37.15,"3.5e-05"
"GO:0055114","oxidation reduction",625,400,351.83,"3.6e-05"
"GO:0000375","RNA splicing, via transesterification re...",99,75,55.73,"4.3e-05"
"GO:0051443","positive regulation of ubiquitin-protein...",59,48,33.21,"4.4e-05"
"GO:0000377","RNA splicing, via transesterification re...",93,71,52.35,"4.4e-05"
"GO:0000398","nuclear mRNA splicing, via spliceosome",93,71,52.35,"4.4e-05"
"GO:0006308","DNA catabolic process",49,41,27.58,"4.5e-05"
"GO:0044267","cellular protein metabolic process",2420,1449,1362.28,"4.6e-05"
"GO:0006310","DNA recombination",113,84,63.61,"5.1e-05"
"GO:0006457","protein folding",169,120,95.13,"5.3e-05"
"GO:0051340","regulation of ligase activity",68,54,38.28,"5.4e-05"
