"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0007275","multicellular organismal development",3024,1537,1143.69,"< 1e-30"
"GO:0048731","system development",2546,1331,962.91,"< 1e-30"
"GO:0048856","anatomical structure development",2741,1412,1036.66,"< 1e-30"
"GO:0032502","developmental process",3322,1657,1256.39,"< 1e-30"
"GO:0007399","nervous system development",1147,667,433.8,"< 1e-30"
"GO:0009653","anatomical structure morphogenesis",1388,768,524.95,"< 1e-30"
"GO:0030154","cell differentiation",1804,953,682.28,"< 1e-30"
"GO:0048869","cellular developmental process",1897,991,717.45,"< 1e-30"
"GO:0048513","organ development",1977,1025,747.71,"< 1e-30"
"GO:0048468","cell development",818,482,309.37,"< 1e-30"
"GO:0022008","neurogenesis",654,396,247.34,"< 1e-30"
"GO:0009887","organ morphogenesis",683,409,258.31,"< 1e-30"
"GO:0007154","cell communication",1676,857,633.87,"< 1e-30"
"GO:0048699","generation of neurons",606,368,229.19,"< 1e-30"
"GO:0032501","multicellular organismal process",4368,1959,1651.99,"< 1e-30"
"GO:0050789","regulation of biological process",6670,2841,2522.62,"4.9e-30"
"GO:0065007","biological regulation",7047,2982,2665.2,"7.1e-30"
"GO:0048519","negative regulation of biological proces...",1847,918,698.54,"2.7e-29"
"GO:0030182","neuron differentiation",556,338,210.28,"3.7e-29"
"GO:0050794","regulation of cellular process",6382,2721,2413.69,"3.9e-28"
"GO:0048523","negative regulation of cellular process",1679,840,635,"8.8e-28"
"GO:0019222","regulation of metabolic process",3513,1595,1328.63,"5.4e-27"
"GO:0007417","central nervous system development",479,293,181.16,"5.5e-26"
"GO:0031323","regulation of cellular metabolic process",3337,1517,1262.06,"1.2e-25"
"GO:0010646","regulation of cell communication",1117,586,422.45,"2.2e-25"
"GO:0080090","regulation of primary metabolic process",3182,1452,1203.44,"3.3e-25"
"GO:0048598","embryonic morphogenesis",359,231,135.77,"6.0e-25"
"GO:0048522","positive regulation of cellular process",1883,913,712.16,"1.6e-24"
"GO:0019219","regulation of nucleobase, nucleoside, nu...",2688,1243,1016.61,"1.1e-23"
"GO:0060255","regulation of macromolecule metabolic pr...",3144,1428,1189.07,"1.3e-23"
"GO:0051171","regulation of nitrogen compound metaboli...",2714,1252,1026.44,"2.3e-23"
"GO:0048666","neuron development",416,256,157.33,"2.4e-23"
"GO:0007167","enzyme linked receptor protein signaling...",447,270,169.06,"7.4e-23"
"GO:0023034","intracellular signaling pathway",889,475,336.22,"1.0e-22"
"GO:0045595","regulation of cell differentiation",549,318,207.63,"1.7e-22"
"GO:0051239","regulation of multicellular organismal p...",1045,543,395.22,"2.8e-22"
"GO:0006355","regulation of transcription, DNA-depende...",1733,839,655.43,"3.8e-22"
"GO:0009790","embryonic development",671,373,253.77,"8.1e-22"
"GO:0045449","regulation of transcription",2463,1141,931.51,"8.3e-22"
"GO:0051252","regulation of RNA metabolic process",1778,856,672.45,"1.0e-21"
"GO:0010628","positive regulation of gene expression",608,343,229.95,"1.5e-21"
"GO:0009889","regulation of biosynthetic process",2849,1296,1077.5,"2.3e-21"
"GO:0048518","positive regulation of biological proces...",2055,970,777.21,"2.5e-21"
